Handle,Variant SKU,Variant Price,Variant Compare At Price
tribute-basket-arrangement,TNG-SYM-007-PRM,220.00,
memorial-vase-arrangement,TNG-SYM-008-STD,110.00,
memorial-vase-arrangement,TNG-SYM-008-DLX,160.00,
memorial-vase-arrangement,TNG-SYM-008-PRM,220.00,
bridal-bouquet-ivory-garden,TNG-WED-001,150.00,
bridal-bouquet-cascading-blush,TNG-WED-002,150.00,
bridesmaid-bouquet,TNG-WED-003,150.00,
low-reception-centerpiece,TNG-WED-004-CLS,85.00,
low-reception-centerpiece,TNG-WED-004-GRD,130.00,
elevated-reception-centerpiece,TNG-WED-005-CLS,85.00,
elevated-reception-centerpiece,TNG-WED-005-GRD,130.00,
ceremony-aisle-arch-arrangement,TNG-WED-006,110.00,
sweetheart-table-arrangement,TNG-WED-007,110.00,
intimate-wedding-flower-package,TNG-WED-008,950.00,
wet-floral-foam-bricks,TNG-SUP-001-Q6,21.00,
wet-floral-foam-bricks,TNG-SUP-001-Q12,30.00,
wet-floral-foam-bricks,TNG-SUP-001-Q24,54.00,
glass-cylinder-vase,TNG-SUP-002-SM,22.00,
glass-cylinder-vase,TNG-SUP-002-MD,30.00,
glass-cylinder-vase,TNG-SUP-002-LG,42.00,
bud-vase-set,TNG-SUP-003-S6,12.00,
bud-vase-set,TNG-SUP-003-S12,20.50,
satin-ribbon,TNG-SUP-004-IVR,12.00,
satin-ribbon,TNG-SUP-004-GLD,12.00,
satin-ribbon,TNG-SUP-004-BLK,12.00,
organza-ribbon,TNG-SUP-005-IVR,12.00,
organza-ribbon,TNG-SUP-005-BLS,12.00,
organza-ribbon,TNG-SUP-005-SGE,12.00,
kraft-cellophane-wrap,TNG-SUP-006-Q25S,12.00,
kraft-cellophane-wrap,TNG-SUP-006-Q50S,21.50,
woven-arrangement-basket,TNG-SUP-007-SM,22.00,
woven-arrangement-basket,TNG-SUP-007-MD,30.00,
woven-arrangement-basket,TNG-SUP-007-LG,42.00,
floral-stem-tape,TNG-SUP-008-GRN,12.00,
floral-stem-tape,TNG-SUP-008-WHT,12.00,
florist-shears-snips,TNG-SUP-009,60.00,
bouquet-presentation-boxes,TNG-SUP-010-Q10,27.00,
bouquet-presentation-boxes,TNG-SUP-010-Q25,48.00,
peace-lily-plant,TNG-PLT-001-SM,45.00,
peace-lily-plant,TNG-PLT-001-MD,70.00,
peace-lily-plant,TNG-PLT-001-LG,110.00,
snake-plant-sansevieria,TNG-PLT-002-SM,45.00,
snake-plant-sansevieria,TNG-PLT-002-MD,70.00,
snake-plant-sansevieria,TNG-PLT-002-LG,110.00,
phalaenopsis-orchid-plant,TNG-PLT-003-STD,65.00,
phalaenopsis-orchid-plant,TNG-PLT-003-PWR,85.00,
fruit-flower-gift-basket,TNG-PLT-004-CLS,85.00,
fruit-flower-gift-basket,TNG-PLT-004-GRD,130.00,
belgian-chocolates-add-on,TNG-PLT-005,20.00,
plush-teddy-bear-add-on,TNG-PLT-006-SM,15.00,
plush-teddy-bear-add-on,TNG-PLT-006-LG,30.00,
