Handle,Product Code,Category,Title,Product Type,Shopify Category (planned),Channel,Format,Flower Type,Color Family,Occasion,Customer Type,Season,Care Level,Vase Life,Stem Length,Bloom Size,Unit Type,Minimum Order Qty,Variant Option 1,Variant Option 2,Variant Count,Provisional Prices (USD),PRICE_STATUS,IMAGE_STATUS,Planned Image,Image Alt,Collections,Tags,Delivery Note,Wholesale Note,Availability Note,Care Instructions,Country of Origin,CONFIRMATION_REQUIRED,APPROVAL_STATUS,Status
asiatic-lilies-mixed,TNG-WHL-011,wholesale,Asiatic Lilies (Mixed),Fresh Cut Flowers,,wholesale,bulk-box,lily,mixed,birthday|congratulations|corporate|get-well|everyday,florist|event-planner|hotel|corporate,year-round,easy,8-12 days,60-80cm,"Open blooms 10-15cm, 3-5 buds per stem",stem,1 box (40 stems),Pack Size,,3,25 Stems=55.00; 50 Stems=100.00; 100 Stems=185.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/asiatic-lilies-mixed-1200x1500.jpg,"Asiatic Lilies (Mixed) — The New Greenhouse, Kingston Jamaica",All Flowers|Lilies|Mixed Color|Birthday|Congratulations|Get Well|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:lily, color:mixed, occasion:birthday, occasion:congratulations, occasion:corporate, occasion:get-well, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Assorted grower's-choice colour mix; shipped in bud. Tiered pricing on 25/50/100 stems.,Colour mix subject to seasonal availability and grower supply.,Recut stems and hydrate with flower food; remove anthers as buds open to prevent pollen staining.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
calla-lilies-ivory,TNG-WHL-012,wholesale,Calla Lilies (Ivory),Fresh Cut Flowers,,both,bulk-box,calla-lily,white-ivory,wedding|sympathy|anniversary|corporate,florist|event-planner|hotel,year-round,moderate,7-12 days,45-65cm,Spathe 8-12cm long,stem,1 box (30 stems),Pack Size,,3,25 Stems=55.00; 50 Stems=100.00; 100 Stems=185.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/calla-lilies-ivory-1200x1500.jpg,"Calla Lilies (Ivory) — The New Greenhouse, Kingston Jamaica",All Flowers|Lilies|White and Ivory|Anniversary|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:retail, channel:wholesale, flower:calla-lily, color:white-ivory, occasion:wedding, occasion:sympathy, occasion:anniversary, occasion:corporate, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Handle gently to protect stems and throats; pre-order for events. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,Recut stems and hydrate in shallow clean water; avoid crushing the hollow stems and keep water moderate to prevent softening.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
white-hydrangeas,TNG-WHL-013,wholesale,White Hydrangeas,Fresh Cut Flowers,,both,bulk-box,hydrangea,white-ivory,wedding|sympathy|corporate|anniversary|everyday,florist|event-planner|hotel|corporate,year-round,moderate,5-9 days,45-65cm,Full head 12-18cm across,stem,1 box (20 stems),Pack Size,,3,25 Stems=90.00; 50 Stems=170.00; 100 Stems=320.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/white-hydrangeas-1200x1500.jpg,"White Hydrangeas — The New Greenhouse, Kingston Jamaica",All Flowers|White and Ivory|Anniversary|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:retail, channel:wholesale, flower:hydrangea, color:white-ivory, occasion:wedding, occasion:sympathy, occasion:corporate, occasion:anniversary, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,"Thirsty flower, keep well hydrated; order ahead for events. Tiered pricing on 25/50/100 stems.",Subject to seasonal availability and grower supply.,"Recut stems, hydrate deeply and mist heads regularly; revive any wilting blooms by fully submerging the head in cool water.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
antique-blue-hydrangeas,TNG-WHL-014,wholesale,Antique Blue Hydrangeas,Fresh Cut Flowers,,both,bulk-box,hydrangea,blue,wedding|anniversary|corporate|everyday,florist|event-planner|hotel,seasonal,moderate,5-9 days,45-65cm,Full head 12-18cm across,stem,1 box (20 stems),Pack Size,,3,25 Stems=90.00; 50 Stems=170.00; 100 Stems=320.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/antique-blue-hydrangeas-1200x1500.jpg,"Antique Blue Hydrangeas — The New Greenhouse, Kingston Jamaica",All Flowers|Anniversary|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:retail, channel:wholesale, flower:hydrangea, color:blue, occasion:wedding, occasion:anniversary, occasion:corporate, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:seasonal, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Antique tone is grower and season dependent; pre-order for events. Tiered pricing on 25/50/100 stems.,Antique shading varies by season; subject to grower supply.,"Recut stems, hydrate deeply and mist heads; revive any wilting blooms by submerging the full head in cool water.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
pink-hydrangeas,TNG-WHL-015,wholesale,Pink Hydrangeas,Fresh Cut Flowers,,both,bulk-box,hydrangea,pink,wedding|new-baby|birthday|anniversary|everyday,florist|event-planner|hotel,year-round,moderate,5-9 days,45-65cm,Full head 12-18cm across,stem,1 box (20 stems),Pack Size,,3,25 Stems=90.00; 50 Stems=170.00; 100 Stems=320.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/pink-hydrangeas-1200x1500.jpg,"Pink Hydrangeas — The New Greenhouse, Kingston Jamaica",All Flowers|Pink|Birthday|Anniversary|New Baby|Bulk Flowers|Florist Essentials,"channel:retail, channel:wholesale, flower:hydrangea, color:pink, occasion:wedding, occasion:new-baby, occasion:birthday, occasion:anniversary, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Keep well hydrated; order ahead for events. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut stems, hydrate deeply and mist heads; revive wilting blooms by submerging the full head in cool water.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
football-disbud-chrysanthemums,TNG-WHL-016,wholesale,Football Disbud Chrysanthemums,Fresh Cut Flowers,,wholesale,bulk-box,chrysanthemum,white-ivory,sympathy|corporate|everyday|congratulations,florist|event-planner|hotel|corporate,year-round,easy,10-16 days,55-70cm,Single head 10-14cm across,stem,1 box (40 stems),Pack Size,,3,25 Stems=35.00; 50 Stems=65.00; 100 Stems=120.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/football-disbud-chrysanthemums-1200x1500.jpg,"Football Disbud Chrysanthemums — The New Greenhouse, Kingston Jamaica",All Flowers|White and Ivory|Sympathy and Funeral|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:chrysanthemum, color:white-ivory, occasion:sympathy, occasion:corporate, occasion:everyday, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,"Available in white, yellow and bronze; specify at order. Excellent value and longevity. Tiered pricing on 25/50/100 stems.",Subject to seasonal availability and grower supply.,"Recut stems, remove lower foliage and hydrate with flower food; very tolerant and long-lasting with routine care.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
spider-chrysanthemums,TNG-WHL-017,wholesale,Spider Chrysanthemums,Fresh Cut Flowers,,wholesale,bulk-box,chrysanthemum,yellow-orange,corporate|everyday|sympathy|congratulations,florist|event-planner|hotel,year-round,easy,10-14 days,55-70cm,Single head 12-16cm across,stem,1 box (40 stems),Pack Size,,3,25 Stems=35.00; 50 Stems=65.00; 100 Stems=120.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/spider-chrysanthemums-1200x1500.jpg,"Spider Chrysanthemums — The New Greenhouse, Kingston Jamaica",All Flowers|Yellow and Orange|Sympathy and Funeral|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:chrysanthemum, color:yellow-orange, occasion:corporate, occasion:everyday, occasion:sympathy, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Colours vary by season; specify preferences at order. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut stems, remove lower foliage and hydrate with flower food; gently fluff the petals after unpacking.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
button-pompon-chrysanthemums,TNG-WHL-018,wholesale,Button Pompon Chrysanthemums,Fresh Cut Flowers,,wholesale,bulk-box,chrysanthemum,mixed,everyday|corporate|birthday|sympathy,florist|event-planner|hotel,year-round,easy,10-14 days,50-65cm,"Buttons 2-4cm, several per stem",stem,1 box (40 stems),Pack Size,,3,25 Stems=35.00; 50 Stems=65.00; 100 Stems=120.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/button-pompon-chrysanthemums-1200x1500.jpg,"Button Pompon Chrysanthemums — The New Greenhouse, Kingston Jamaica",All Flowers|Mixed Color|Birthday|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:chrysanthemum, color:mixed, occasion:everyday, occasion:corporate, occasion:birthday, occasion:sympathy, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Assorted colours available; branching stems give high bloom count. Tiered pricing on 25/50/100 stems.,Colour mix subject to seasonal availability and grower supply.,"Recut stems, remove lower foliage and hydrate with flower food; pick off any spent blooms to keep clusters looking fresh.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
standard-carnations-assorted,TNG-WHL-019,wholesale,Standard Carnations (Assorted),Fresh Cut Flowers,,wholesale,bulk-box,carnation,mixed,everyday|sympathy|corporate|birthday|congratulations,florist|event-planner|hotel|corporate,year-round,easy,12-21 days,50-65cm,Single head 5-7cm across,stem,1 box (100 stems),Pack Size,,3,25 Stems=30.00; 50 Stems=55.00; 100 Stems=100.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/standard-carnations-assorted-1200x1500.jpg,"Standard Carnations (Assorted) — The New Greenhouse, Kingston Jamaica",All Flowers|Mixed Color|Birthday|Sympathy and Funeral|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:carnation, color:mixed, occasion:everyday, occasion:sympathy, occasion:corporate, occasion:birthday, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Grower's-choice assorted mix; solid colours available on request. Outstanding value and longevity. Tiered pricing on 25/50/100 stems.,Colour mix subject to seasonal availability and grower supply.,Cut stems between the nodes rather than through them and hydrate with flower food; very tolerant and long-lasting.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
spray-mini-carnations,TNG-WHL-020,wholesale,Spray Mini Carnations,Fresh Cut Flowers,,wholesale,bulk-box,carnation,mixed,everyday|birthday|wedding|corporate|sympathy,florist|event-planner|hotel,year-round,easy,10-18 days,45-60cm,"Blooms 3-4cm, 4-8 per stem",stem,1 box (100 stems),Pack Size,,3,25 Stems=30.00; 50 Stems=55.00; 100 Stems=100.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/spray-mini-carnations-1200x1500.jpg,"Spray Mini Carnations — The New Greenhouse, Kingston Jamaica",All Flowers|Mixed Color|Birthday|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:carnation, color:mixed, occasion:everyday, occasion:birthday, occasion:wedding, occasion:corporate, occasion:sympathy, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Assorted colours; branching stems give high bloom count per box. Tiered pricing on 25/50/100 stems.,Colour mix subject to seasonal availability and grower supply.,Cut stems between the nodes and hydrate with flower food; remove spent blooms so remaining buds keep opening.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
