Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
long-stem-pink-roses,Long-Stem Pink Roses,"<p>Fresh long-stem roses in a clear mid-pink that suits romance, birthdays and baby showers alike. Tight, well-formed heads open evenly to a generous cupped bloom, giving designers reliable performance in bouquets and arrangements.</p><p>Boxed by the grower with stems bunched and foliage intact. A practical volume flower for florists and event planners handling weddings, congratulations and everyday retail in Jamaica.</p><ul><li><strong>Stem length:</strong> 50-70cm</li><li><strong>Bloom size:</strong> Large head, 5-6cm closed</li><li><strong>Vase life:</strong> 7-12 days conditioned</li><li><strong>Conditioning:</strong> Angle-cut, remove lower foliage and thorns, hydrate in clean water with flower food.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:rose, color:pink, occasion:romance, occasion:birthday, occasion:new-baby, occasion:wedding, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,Stem Length,Standard,,,TNG-WHL-003-P25-STD,3200,shopify,0,deny,manual,45.00,,TRUE,TRUE,,,,,FALSE,Long-Stem Pink Roses | Bulk Flowers Jamaica,"Long-stem pink roses by the box for weddings, showers and retail. Bulk flowers Jamaica and wholesale flowers Kingston for florists.",draft
long-stem-pink-roses,,,,,,,FALSE,,50 Stems,,Standard,,,TNG-WHL-003-P50-STD,3200,shopify,0,deny,manual,85.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-pink-roses,,,,,,,FALSE,,100 Stems,,Standard,,,TNG-WHL-003-P100-STD,3200,shopify,0,deny,manual,160.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-pink-roses,,,,,,,FALSE,,50 Stems,,Premium,,,TNG-WHL-003-P50-PRM,3200,shopify,0,deny,manual,102.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-pink-roses,,,,,,,FALSE,,100 Stems,,Premium,,,TNG-WHL-003-P100-PRM,3200,shopify,0,deny,manual,192.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-yellow-roses,Long-Stem Yellow Roses,"<p>Cheerful long-stem roses in a warm, saturated yellow that holds colour well as it opens. A strong choice for congratulations, graduations and bright corporate arrangements where impact matters.</p><p>Delivered boxed and bunched from the grower for straightforward processing. Consistent stem length and head size make this a reliable trade flower for florists, planners and hotels in Kingston.</p><ul><li><strong>Stem length:</strong> 50-70cm</li><li><strong>Bloom size:</strong> Large head, 5-6cm closed</li><li><strong>Vase life:</strong> 7-11 days conditioned</li><li><strong>Conditioning:</strong> Angle-cut, remove lower foliage, hydrate in clean water with flower food; keep out of direct heat to protect colour.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:rose, color:yellow-orange, occasion:congratulations, occasion:graduation, occasion:corporate, occasion:birthday, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,Stem Length,Standard,,,TNG-WHL-004-P25-STD,3200,shopify,0,deny,manual,45.00,,TRUE,TRUE,,,,,FALSE,Long-Stem Yellow Roses | Wholesale Flowers JA,"Long-stem yellow roses by the box for congratulations and corporate work. Wholesale flowers Jamaica, delivered to florists in Kingston.",draft
long-stem-yellow-roses,,,,,,,FALSE,,50 Stems,,Standard,,,TNG-WHL-004-P50-STD,3200,shopify,0,deny,manual,85.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-yellow-roses,,,,,,,FALSE,,100 Stems,,Standard,,,TNG-WHL-004-P100-STD,3200,shopify,0,deny,manual,160.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-yellow-roses,,,,,,,FALSE,,50 Stems,,Premium,,,TNG-WHL-004-P50-PRM,3200,shopify,0,deny,manual,102.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-yellow-roses,,,,,,,FALSE,,100 Stems,,Premium,,,TNG-WHL-004-P100-PRM,3200,shopify,0,deny,manual,192.00,,TRUE,TRUE,,,,,FALSE,,,draft
assorted-spray-roses,Assorted Spray Roses,"<p>Multi-flowering spray roses carrying several small blooms and buds on each stem, delivered in an assorted colour mix. A designer workhorse that adds movement, texture and colour transitions to bouquets, arbours and centrepieces.</p><p>Boxed and bunched by the grower, with each stem effectively doing the work of several single blooms. Excellent value for florists and event planners building weddings and large installations in Jamaica.</p><ul><li><strong>Stem length:</strong> 40-55cm</li><li><strong>Bloom size:</strong> Small heads, 2.5-3.5cm, 4-7 per stem</li><li><strong>Vase life:</strong> 6-9 days conditioned</li><li><strong>Conditioning:</strong> Angle-cut, remove lower foliage, hydrate with flower food; pinch spent blooms to keep buds opening.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:wholesale, flower:spray-rose, color:mixed, occasion:wedding, occasion:romance, occasion:birthday, occasion:everyday, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-005-P25,2600,shopify,0,deny,manual,40.00,,TRUE,TRUE,,,,,FALSE,Assorted Spray Roses | Wholesale Flowers Jamaica,"Mixed spray roses by the box, multi-head stems for weddings and events. Wholesale flowers Jamaica for florists and event planners.",draft
assorted-spray-roses,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-005-P50,2600,shopify,0,deny,manual,75.00,,TRUE,TRUE,,,,,FALSE,,,draft
assorted-spray-roses,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-005-P100,2600,shopify,0,deny,manual,140.00,,TRUE,TRUE,,,,,FALSE,,,draft
ivory-garden-roses,Ivory Garden Roses,"<p>Lush, many-petalled garden roses in a soft ivory tone, prized for their old-world ruffle and gentle fragrance. When open they deliver a large, cabbage-like face that anchors luxury bridal bouquets and editorial installations.</p><p>A premium designer flower delivered boxed with careful head protection. Garden varieties are more delicate than standard roses, so plan for generous conditioning time. Ideal for florists and planners producing high-end weddings in Kingston.</p><ul><li><strong>Stem length:</strong> 40-55cm</li><li><strong>Bloom size:</strong> Extra-full head, 6-9cm open</li><li><strong>Vase life:</strong> 4-7 days conditioned</li><li><strong>Conditioning:</strong> Angle-cut, hydrate several hours before design, keep cool; handle open heads gently to avoid bruising.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:garden-rose, color:white-ivory, occasion:wedding, occasion:anniversary, occasion:romance, occasion:sympathy, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,Stem Length,Standard,,,TNG-WHL-006-P25-STD,2400,shopify,0,deny,manual,45.00,,TRUE,TRUE,,,,,FALSE,Ivory Garden Roses | Wholesale Wedding Flowers,Full ivory garden roses in bulk for luxury bridal design. Wedding flowers Kingston and wholesale flowers Jamaica for florists.,draft
ivory-garden-roses,,,,,,,FALSE,,50 Stems,,Standard,,,TNG-WHL-006-P50-STD,2400,shopify,0,deny,manual,85.00,,TRUE,TRUE,,,,,FALSE,,,draft
ivory-garden-roses,,,,,,,FALSE,,50 Stems,,Premium,,,TNG-WHL-006-P50-PRM,2400,shopify,0,deny,manual,102.00,,TRUE,TRUE,,,,,FALSE,,,draft
ivory-garden-roses,,,,,,,FALSE,,100 Stems,,Premium,,,TNG-WHL-006-P100-PRM,2400,shopify,0,deny,manual,192.00,,TRUE,TRUE,,,,,FALSE,,,draft
dendrobium-orchid-stems,Dendrobium Orchid Stems,"<p>Slender arching sprays of dendrobium orchids, each carrying a run of waxy, long-lasting florets. A tropical designer staple that brings line, movement and exceptional vase life to arrangements, buffet displays and event installations.</p><p>Delivered boxed with stems sleeved to protect the florets. Their durability makes them a smart choice for hotels, planners and corporate accounts needing displays that hold for days.</p><ul><li><strong>Stem length:</strong> 40-60cm</li><li><strong>Bloom size:</strong> Florets 3-4cm, 8-14 per spray</li><li><strong>Vase life:</strong> 10-16 days conditioned</li><li><strong>Conditioning:</strong> Angle-cut, hydrate in clean water with flower food; sensitive to cold, keep above 10C.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:wholesale, flower:orchid, color:purple, occasion:wedding, occasion:corporate, occasion:everyday, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-007-P25,2000,shopify,0,deny,manual,70.00,,TRUE,TRUE,,,,,FALSE,Dendrobium Orchid Stems | Wholesale Flowers JA,Dendrobium orchid sprays in bulk for tropical events and hotels. Wholesale flowers Jamaica with long vase life for the trade.,draft
dendrobium-orchid-stems,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-007-P50,2000,shopify,0,deny,manual,130.00,,TRUE,TRUE,,,,,FALSE,,,draft
dendrobium-orchid-stems,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-007-P100,2000,shopify,0,deny,manual,240.00,,TRUE,TRUE,,,,,FALSE,,,draft
cymbidium-orchid-stems,Cymbidium Orchid Stems,"<p>Statuesque cymbidium orchid stems carrying rows of large, waxy blooms on a strong upright spray. A luxury flower with remarkable substance and vase life, used whole in tall designs or divided into individual blooms for corsages and boutonnieres.</p><p>Delivered boxed and sleeved with heads protected. Their size and longevity make them a high-value choice for florists and planners producing weddings, galas and executive corporate work in Jamaica.</p><ul><li><strong>Stem length:</strong> 50-70cm</li><li><strong>Bloom size:</strong> Large blooms 7-10cm, 6-12 per spray</li><li><strong>Vase life:</strong> 14-21 days conditioned</li><li><strong>Conditioning:</strong> Angle-cut, hydrate in clean water; keep cool but above 8C, mist individual blooms used in corsage work.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:wholesale, flower:orchid, color:green, occasion:wedding, occasion:corporate, occasion:anniversary, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:seasonal, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-008-P25,2600,shopify,0,deny,manual,70.00,,TRUE,TRUE,,,,,FALSE,Cymbidium Orchid Stems | Wholesale Wedding Flowers,Cymbidium orchids in bulk for luxury bridal and corsage work. Wedding flowers Kingston and wholesale flowers Jamaica for the trade.,draft
cymbidium-orchid-stems,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-008-P50,2600,shopify,0,deny,manual,130.00,,TRUE,TRUE,,,,,FALSE,,,draft
cymbidium-orchid-stems,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-008-P100,2600,shopify,0,deny,manual,240.00,,TRUE,TRUE,,,,,FALSE,,,draft
phalaenopsis-orchid-stems,Phalaenopsis Orchid Stems,"<p>Refined cut phalaenopsis (moth orchid) sprays carrying broad, rounded blooms along a graceful arching stem. The signature flower of modern luxury design, used in cascading bridal bouquets, water-tube installations and sculptural centrepieces.</p><p>Delivered boxed with each bloom protected. Phalaenopsis is delicate and best designed close to the event; handled well it offers a soft, contemporary look no other flower matches. Ideal for florists and planners working premium weddings in Kingston.</p><ul><li><strong>Stem length:</strong> 40-60cm</li><li><strong>Bloom size:</strong> Broad blooms 6-9cm, 5-9 per spray</li><li><strong>Vase life:</strong> 10-18 days in water, shorter in foam or tubes</li><li><strong>Conditioning:</strong> Angle-cut, hydrate in clean water; keep warm and away from draughts, mist blooms lightly.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:wholesale, flower:orchid, color:white-ivory, occasion:wedding, occasion:corporate, occasion:anniversary, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-009-P25,1800,shopify,0,deny,manual,70.00,,TRUE,TRUE,,,,,FALSE,Phalaenopsis Orchid Stems | Wholesale Flowers JA,Cut phalaenopsis orchid sprays in bulk for luxury bridal design. Wholesale flowers Jamaica and wedding flowers Kingston for florists.,draft
phalaenopsis-orchid-stems,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-009-P50,1800,shopify,0,deny,manual,130.00,,TRUE,TRUE,,,,,FALSE,,,draft
phalaenopsis-orchid-stems,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-009-P100,1800,shopify,0,deny,manual,240.00,,TRUE,TRUE,,,,,FALSE,,,draft
oriental-lilies-white,Oriental Lilies (White),"<p>Large, richly fragrant white oriental lilies carrying multiple buds per stem that open in succession for extended display. A cornerstone of sympathy and bridal work, prized for scale, presence and value where each stem opens several blooms.</p><p>Delivered boxed in tight bud so they travel and store well, then open over several days. Ideal for florists, planners and hotels producing funeral tributes, weddings and grand installations across Jamaica.</p><ul><li><strong>Stem length:</strong> 70-90cm</li><li><strong>Bloom size:</strong> Open blooms 15-20cm, 3-6 buds per stem</li><li><strong>Vase life:</strong> 8-12 days as buds open in sequence</li><li><strong>Conditioning:</strong> Angle-cut, hydrate with flower food; remove pollen-laden anthers to protect petals and fabrics.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:lily, color:white-ivory, occasion:sympathy, occasion:wedding, occasion:anniversary, occasion:corporate, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-010-P25,2800,shopify,0,deny,manual,55.00,,TRUE,TRUE,,,,,FALSE,White Oriental Lilies | Wholesale Flowers Jamaica,Fragrant white oriental lilies in bulk for sympathy and bridal work. Wholesale flowers Jamaica and sympathy flowers for florists.,draft
oriental-lilies-white,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-010-P50,2800,shopify,0,deny,manual,100.00,,TRUE,TRUE,,,,,FALSE,,,draft
oriental-lilies-white,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-010-P100,2800,shopify,0,deny,manual,185.00,,TRUE,TRUE,,,,,FALSE,,,draft
asiatic-lilies-mixed,Asiatic Lilies (Mixed),"<p>Upward-facing Asiatic lilies in a vibrant assorted mix, delivered without the heavy fragrance of oriental types. Each stem carries several buds that open in turn, giving bold colour and excellent value for volume arrangements.</p><p>Boxed in bud for storage and travel, opening over several days on display. A dependable, budget-friendly trade flower for florists, planners and hotels handling birthdays, congratulations and everyday retail in Kingston.</p><ul><li><strong>Stem length:</strong> 60-80cm</li><li><strong>Bloom size:</strong> Open blooms 10-15cm, 3-5 buds per stem</li><li><strong>Vase life:</strong> 8-12 days as buds open in sequence</li><li><strong>Conditioning:</strong> Angle-cut, hydrate with flower food; remove anthers as blooms open to avoid pollen stains.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:wholesale, flower:lily, color:mixed, occasion:birthday, occasion:congratulations, occasion:corporate, occasion:get-well, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-011-P25,2400,shopify,0,deny,manual,55.00,,TRUE,TRUE,,,,,FALSE,Mixed Asiatic Lilies | Bulk Flowers Jamaica,"Bright mixed Asiatic lilies by the box, unscented and long-lasting. Bulk flowers Jamaica and wholesale flowers Kingston for florists.",draft
asiatic-lilies-mixed,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-011-P50,2400,shopify,0,deny,manual,100.00,,TRUE,TRUE,,,,,FALSE,,,draft
asiatic-lilies-mixed,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-011-P100,2400,shopify,0,deny,manual,185.00,,TRUE,TRUE,,,,,FALSE,,,draft
calla-lilies-ivory,Calla Lilies (Ivory),"<p>Elegant ivory calla lilies with their signature curled spathe and clean, pliable stem. A minimalist designer favourite used in sleek presentation bouquets, tall linear arrangements and contemporary event installations.</p><p>Delivered boxed with blooms sleeved to protect the delicate throat. The smooth hollow stems can be gently shaped and are sensitive to over-handling, so process with care. Ideal for florists and planners producing modern weddings in Jamaica.</p><ul><li><strong>Stem length:</strong> 45-65cm</li><li><strong>Bloom size:</strong> Spathe 8-12cm long</li><li><strong>Vase life:</strong> 7-12 days conditioned</li><li><strong>Conditioning:</strong> Angle-cut, hydrate in shallow clean water; avoid crushing stems and keep water levels moderate to prevent softening.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:calla-lily, color:white-ivory, occasion:wedding, occasion:sympathy, occasion:anniversary, occasion:corporate, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-012-P25,2200,shopify,0,deny,manual,55.00,,TRUE,TRUE,,,,,FALSE,Ivory Calla Lilies | Wholesale Wedding Flowers,Sculptural ivory calla lilies in bulk for modern bridal design. Wedding flowers Kingston and wholesale flowers Jamaica for florists.,draft
calla-lilies-ivory,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-012-P50,2200,shopify,0,deny,manual,100.00,,TRUE,TRUE,,,,,FALSE,,,draft
calla-lilies-ivory,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-012-P100,2200,shopify,0,deny,manual,185.00,,TRUE,TRUE,,,,,FALSE,,,draft
white-hydrangeas,White Hydrangeas,"<p>Generous white hydrangea heads made up of dense clusters of small florets, delivering instant volume and coverage. A designer essential for filling bridal arbours, centrepieces and grand installations where one stem does the work of many.</p><p>Delivered boxed with heads sleeved for protection. Hydrangeas drink through both stem and petals, so thorough hydration is key. Ideal for florists, planners and hotels producing weddings and large-scale event flowers in Kingston.</p><ul><li><strong>Stem length:</strong> 45-65cm</li><li><strong>Bloom size:</strong> Full head 12-18cm across</li><li><strong>Vase life:</strong> 5-9 days well conditioned</li><li><strong>Conditioning:</strong> Angle-cut, dip cut ends briefly, hydrate deeply; mist heads and revive wilted blooms by submerging in cool water.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:hydrangea, color:white-ivory, occasion:wedding, occasion:sympathy, occasion:corporate, occasion:anniversary, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-013-P25,2400,shopify,0,deny,manual,90.00,,TRUE,TRUE,,,,,FALSE,White Hydrangeas | Wholesale Flowers Jamaica,Full white hydrangea heads in bulk for weddings and events. Wholesale flowers Jamaica and wedding flowers Kingston for florists.,draft
white-hydrangeas,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-013-P50,2400,shopify,0,deny,manual,170.00,,TRUE,TRUE,,,,,FALSE,,,draft
white-hydrangeas,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-013-P100,2400,shopify,0,deny,manual,320.00,,TRUE,TRUE,,,,,FALSE,,,draft
antique-blue-hydrangeas,Antique Blue Hydrangeas,"<p>Hydrangea heads in a soft, dusky antique blue with subtle green and lilac shading, the mature tone designers love for romantic and vintage palettes. Each dense head brings depth and volume to bouquets, centrepieces and lush installations.</p><p>Delivered boxed and sleeved. As with all hydrangeas, deep hydration protects the delicate florets. A refined trade choice for florists and planners building weddings and editorial work across Jamaica.</p><ul><li><strong>Stem length:</strong> 45-65cm</li><li><strong>Bloom size:</strong> Full head 12-18cm across</li><li><strong>Vase life:</strong> 5-9 days well conditioned</li><li><strong>Conditioning:</strong> Angle-cut, hydrate deeply and mist; submerge wilted heads in cool water to revive. Tone deepens as blooms mature.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:hydrangea, color:blue, occasion:wedding, occasion:anniversary, occasion:corporate, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:seasonal, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-014-P25,2400,shopify,0,deny,manual,90.00,,TRUE,TRUE,,,,,FALSE,Antique Blue Hydrangeas | Wholesale Wedding Flowers,Antique blue hydrangea heads in bulk for vintage-toned weddings. Wedding flowers Kingston and wholesale flowers Jamaica for florists.,draft
antique-blue-hydrangeas,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-014-P50,2400,shopify,0,deny,manual,170.00,,TRUE,TRUE,,,,,FALSE,,,draft
antique-blue-hydrangeas,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-014-P100,2400,shopify,0,deny,manual,320.00,,TRUE,TRUE,,,,,FALSE,,,draft
pink-hydrangeas,Pink Hydrangeas,"<p>Rounded pink hydrangea heads packed with small florets in a gentle, warm rose tone. A versatile volume flower for baby showers, weddings and celebration work, filling space beautifully while softening bolder blooms around it.</p><p>Delivered boxed and sleeved for protection. Keep well hydrated, as hydrangeas draw moisture through their petals as well as their stems. A dependable trade flower for florists, planners and hotels in Kingston.</p><ul><li><strong>Stem length:</strong> 45-65cm</li><li><strong>Bloom size:</strong> Full head 12-18cm across</li><li><strong>Vase life:</strong> 5-9 days well conditioned</li><li><strong>Conditioning:</strong> Angle-cut, hydrate deeply and mist heads; revive wilted blooms by submerging in cool water.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:hydrangea, color:pink, occasion:wedding, occasion:new-baby, occasion:birthday, occasion:anniversary, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,,,,,TNG-WHL-015-P25,2400,shopify,0,deny,manual,90.00,,TRUE,TRUE,,,,,FALSE,Pink Hydrangeas | Bulk Flowers Jamaica,Soft pink hydrangea heads in bulk for showers and weddings. Bulk flowers Jamaica and wholesale flowers Kingston for florists.,draft
pink-hydrangeas,,,,,,,FALSE,,50 Stems,,,,,TNG-WHL-015-P50,2400,shopify,0,deny,manual,170.00,,TRUE,TRUE,,,,,FALSE,,,draft
pink-hydrangeas,,,,,,,FALSE,,100 Stems,,,,,TNG-WHL-015-P100,2400,shopify,0,deny,manual,320.00,,TRUE,TRUE,,,,,FALSE,,,draft
