Handle,Title,Filename,Type,Orientation,Dimensions,Aspect Ratio,Alt Text,Photography Direction,Generation Prompt,Status
asiatic-lilies-mixed,Asiatic Lilies (Mixed),products/asiatic-lilies-mixed-1200x1500.jpg,product,portrait,1200x1500,4:5,"Asiatic Lilies (Mixed) — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of asiatic lilies (mixed) for a luxury florist catalog. Bright, unscented Asiatic lilies in a mixed-colour box for cheerful, high-value event work. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
calla-lilies-ivory,Calla Lilies (Ivory),products/calla-lilies-ivory-1200x1500.jpg,product,portrait,1200x1500,4:5,"Calla Lilies (Ivory) — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of calla lilies (ivory) for a luxury florist catalog. Sculptural ivory calla lilies with smooth stems for modern bridal and architectural design. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
white-hydrangeas,White Hydrangeas,products/white-hydrangeas-1200x1500.jpg,product,portrait,1200x1500,4:5,"White Hydrangeas — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of white hydrangeas for a luxury florist catalog. Full white hydrangea heads by the box, high-impact volume for weddings and events. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
antique-blue-hydrangeas,Antique Blue Hydrangeas,products/antique-blue-hydrangeas-1200x1500.jpg,product,portrait,1200x1500,4:5,"Antique Blue Hydrangeas — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of antique blue hydrangeas for a luxury florist catalog. Muted antique-blue hydrangea heads for romantic, vintage-toned wedding and editorial work. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
pink-hydrangeas,Pink Hydrangeas,products/pink-hydrangeas-1200x1500.jpg,product,portrait,1200x1500,4:5,"Pink Hydrangeas — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of pink hydrangeas for a luxury florist catalog. Soft pink hydrangea heads in bulk for showers, weddings and romantic celebration florals. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
football-disbud-chrysanthemums,Football Disbud Chrysanthemums,products/football-disbud-chrysanthemums-1200x1500.jpg,product,portrait,1200x1500,4:5,"Football Disbud Chrysanthemums — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of football disbud chrysanthemums for a luxury florist catalog. Large single-head disbud mums by the box, dense round blooms for value-driven event work. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
spider-chrysanthemums,Spider Chrysanthemums,products/spider-chrysanthemums-1200x1500.jpg,product,portrait,1200x1500,4:5,"Spider Chrysanthemums — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of spider chrysanthemums for a luxury florist catalog. Fringed spider mums with long tubular petals for texture in modern and tropical arrangements. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
button-pompon-chrysanthemums,Button Pompon Chrysanthemums,products/button-pompon-chrysanthemums-1200x1500.jpg,product,portrait,1200x1500,4:5,"Button Pompon Chrysanthemums — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of button pompon chrysanthemums for a luxury florist catalog. Multi-head button pompon mums by the box, tidy small blooms for filler and mass texture. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
standard-carnations-assorted,Standard Carnations (Assorted),products/standard-carnations-assorted-1200x1500.jpg,product,portrait,1200x1500,4:5,"Standard Carnations (Assorted) — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of standard carnations (assorted) for a luxury florist catalog. Large single-head carnations in an assorted-colour box, a long-lasting, budget-friendly staple. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
spray-mini-carnations,Spray Mini Carnations,products/spray-mini-carnations-1200x1500.jpg,product,portrait,1200x1500,4:5,"Spray Mini Carnations — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of spray mini carnations for a luxury florist catalog. Branching mini spray carnations by the box, multiple small blooms per stem for filler value. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
anthurium-stems,Anthurium Stems,products/anthurium-stems-1200x1500.jpg,product,portrait,1200x1500,4:5,"Anthurium Stems — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of anthurium stems for a luxury florist catalog. Glossy heart-shaped anthurium stems for bold tropical event, hotel and corporate florals. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
heliconia,Heliconia,products/heliconia-1200x1500.jpg,product,portrait,1200x1500,4:5,"Heliconia — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of heliconia for a luxury florist catalog. Bold architectural heliconia stems for large tropical arrangements and statement event work. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
torch-ginger,Torch Ginger,products/torch-ginger-1200x1500.jpg,product,portrait,1200x1500,4:5,"Torch Ginger — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of torch ginger for a luxury florist catalog. Sculptural torch ginger blooms for luxury tropical centrepieces and resort-style event work. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
bird-of-paradise,Bird of Paradise,products/bird-of-paradise-1200x1500.jpg,product,portrait,1200x1500,4:5,"Bird of Paradise — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of bird of paradise for a luxury florist catalog. Iconic bird of paradise stems for striking tropical arrangements and hotel installations. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
seeded-eucalyptus,Seeded Eucalyptus,products/seeded-eucalyptus-1200x1500.jpg,product,portrait,1200x1500,4:5,"Seeded Eucalyptus — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of seeded eucalyptus for a luxury florist catalog. Seeded eucalyptus bunches with berry-like pods for organic texture in bouquets and installs. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
silver-dollar-eucalyptus,Silver Dollar Eucalyptus,products/silver-dollar-eucalyptus-1200x1500.jpg,product,portrait,1200x1500,4:5,"Silver Dollar Eucalyptus — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of silver dollar eucalyptus for a luxury florist catalog. Round-leaved silver dollar eucalyptus bunches for soft, silvery foliage in event florals. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
israeli-ruscus,Israeli Ruscus,products/israeli-ruscus-1200x1500.jpg,product,portrait,1200x1500,4:5,"Israeli Ruscus — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of israeli ruscus for a luxury florist catalog. Durable Israeli ruscus bunches with glossy pointed leaves for reliable structural greenery. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
palm-leather-leaf,Palm & Leather Leaf,products/palm-leather-leaf-1200x1500.jpg,product,portrait,1200x1500,4:5,"Palm & Leather Leaf — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of palm & leather leaf for a luxury florist catalog. Mixed palm and leather leaf fronds for backing, base greening and tropical structure. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
babys-breath-gypsophila,Baby's Breath (Gypsophila),products/babys-breath-gypsophila-1200x1500.jpg,product,portrait,1200x1500,4:5,"Baby's Breath (Gypsophila) — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of baby's breath (gypsophila) for a luxury florist catalog. Cloud-like gypsophila bunches for airy filler, mass installations and delicate accents. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
wax-flower,Wax Flower,products/wax-flower-1200x1500.jpg,product,portrait,1200x1500,4:5,"Wax Flower — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of wax flower for a luxury florist catalog. Aromatic wax flower bunches with small starry blooms and fine foliage for natural filler. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
statice,Statice,products/statice-1200x1500.jpg,product,portrait,1200x1500,4:5,"Statice — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of statice for a luxury florist catalog. Papery statice bunches in strong colour, an everlasting filler that dries with no fading. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
solidago,Solidago,products/solidago-1200x1500.jpg,product,portrait,1200x1500,4:5,"Solidago — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of solidago for a luxury florist catalog. Feathery yellow solidago plumes for bright, airy filler and warm colour in mixed designs. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
birthday-brights-bouquet,Birthday Brights Bouquet,products/birthday-brights-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Birthday Brights Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of birthday brights bouquet for a luxury florist catalog. A cheerful hand-tied bouquet of bright seasonal blooms to make any birthday feel special. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
classic-birthday-blooms,Classic Birthday Blooms,products/classic-birthday-blooms-1200x1500.jpg,product,portrait,1200x1500,4:5,"Classic Birthday Blooms — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of classic birthday blooms for a luxury florist catalog. A timeless mixed bouquet of roses and complementary blooms for a classic birthday gift. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
anniversary-rose-bouquet,Anniversary Rose Bouquet,products/anniversary-rose-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Anniversary Rose Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of anniversary rose bouquet for a luxury florist catalog. A romantic hand-tied bouquet of premium roses to celebrate an anniversary. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
anniversary-luxe-arrangement,Anniversary Luxe Arrangement,products/anniversary-luxe-arrangement-1200x1500.jpg,product,portrait,1200x1500,4:5,"Anniversary Luxe Arrangement — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of anniversary luxe arrangement for a luxury florist catalog. A lavish vase arrangement of roses and lilies for a milestone anniversary. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
red-rose-romance-bouquet,Red Rose Romance Bouquet,products/red-rose-romance-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Red Rose Romance Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of red rose romance bouquet for a luxury florist catalog. A classic hand-tied bouquet of deep red roses for a heartfelt romantic gesture. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
blush-romance-bouquet,Blush Romance Bouquet,products/blush-romance-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Blush Romance Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of blush romance bouquet for a luxury florist catalog. A soft, romantic bouquet of blush and pink roses for a gentler love note. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
congratulations-bright-bouquet,Congratulations Bright Bouquet,products/congratulations-bright-bouquet-1200x1500.jpg,product,portrait,1200x1500,4:5,"Congratulations Bright Bouquet — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of congratulations bright bouquet for a luxury florist catalog. A vibrant, upbeat bouquet to celebrate a new job, graduation or big win. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
