title,handle,product_id,status,publication_status,collections,category,tags,product_type,vendor,description_status,image_count,has_featured_image,variant_count,variant_titles,price,compare_at_price,sku,inventory_tracked,inventory_qty,inventory_policy,purchasable,sold_out_reason,possible_duplicate,matching_local_image,missing_info,classification,recommended_action,reason,phase1_result
Cymbidium Orchid Stems,cymbidium-orchid-stems,8553433497779,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|orchids|green-flowers|anniversary|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:green|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:orchid|format:bulk-box|image-status:required|occasion:anniversary|occasion:congratulations|occasion:corporate|occasion:wedding|price-status:placeholder|season:seasonal|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,70.00,,TNG-WHL-008-P25|TNG-WHL-008-P50|TNG-WHL-008-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,likely match: flowers/orchids/all (confirm),image,B,Complete after image + availability fix,"Valid orchids stem/bunch; likely match: flowers/orchids/all (confirm); + inventory/availability fix (qty 0, policy DENY)",DONE: image added + untracked(CONTINUE) + published; purchasable
Phalaenopsis Orchid Stems,phalaenopsis-orchid-stems,8553433530547,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|orchids|white-and-ivory|anniversary|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:white-ivory|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:orchid|format:bulk-box|image-status:required|occasion:anniversary|occasion:congratulations|occasion:corporate|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,70.00,,TNG-WHL-009-P25|TNG-WHL-009-P50|TNG-WHL-009-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,likely match: flowers/orchids/all (confirm),image,B,Complete after image + availability fix,"Valid orchids stem/bunch; likely match: flowers/orchids/all (confirm); + inventory/availability fix (qty 0, policy DENY)",DONE: image added + untracked(CONTINUE) + published; purchasable
Oriental Lilies (White),oriental-lilies-white,8553433563315,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|lilies|white-and-ivory|anniversary|sympathy-and-funeral|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:lily|format:bulk-box|image-status:required|occasion:anniversary|occasion:corporate|occasion:everyday|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,55.00,,TNG-WHL-010-P25|TNG-WHL-010-P50|TNG-WHL-010-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,lilies-white (high),likely match: flowers/lilies/white (confirm),image,D,Delete (duplicate/obsolete),Duplicate of lilies-white (same lilies/white exists complete),DONE: set DRAFT + unpublished + redirect→lilies-white
Asiatic Lilies (Mixed),asiatic-lilies-mixed,8553433596083,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|lilies|mixed-color|birthday|congratulations|get-well|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:mixed|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:lily|format:bulk-box|image-status:required|occasion:birthday|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:get-well|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,55.00,,TNG-WHL-011-P25|TNG-WHL-011-P50|TNG-WHL-011-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,likely match: flowers/lilies/all (confirm),image,B,Complete after image + availability fix,"Valid lilies stem/bunch; likely match: flowers/lilies/all (confirm); + inventory/availability fix (qty 0, policy DENY)",DONE: image added + untracked(CONTINUE) + published; purchasable
Calla Lilies (Ivory),calla-lilies-ivory,8553433628851,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|lilies|white-and-ivory|anniversary|sympathy-and-funeral|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:calla-lily|format:bulk-box|image-status:required|occasion:anniversary|occasion:corporate|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,55.00,,TNG-WHL-012-P25|TNG-WHL-012-P50|TNG-WHL-012-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,likely match: flowers/lilies/all (confirm),image,B,Complete after image + availability fix,"Valid lilies stem/bunch; likely match: flowers/lilies/all (confirm); + inventory/availability fix (qty 0, policy DENY)",DONE: image added + untracked(CONTINUE) + published; purchasable
White Hydrangeas,white-hydrangeas,8553433661619,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|white-and-ivory|anniversary|sympathy-and-funeral|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:hydrangea|format:bulk-box|image-status:required|occasion:anniversary|occasion:corporate|occasion:everyday|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,90.00,,TNG-WHL-013-P25|TNG-WHL-013-P50|TNG-WHL-013-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,hydrangea-white (high),likely match: flowers/hydrangea/white (confirm),image,D,Delete (duplicate/obsolete),Duplicate of hydrangea-white (same hydrangea/white exists complete),DONE: set DRAFT + unpublished + redirect→hydrangea-white
Antique Blue Hydrangeas,antique-blue-hydrangeas,8553433694387,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|anniversary|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:retail|channel:wholesale|color:blue|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:hydrangea|format:bulk-box|image-status:required|occasion:anniversary|occasion:corporate|occasion:everyday|occasion:wedding|price-status:placeholder|season:seasonal|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,90.00,,TNG-WHL-014-P25|TNG-WHL-014-P50|TNG-WHL-014-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,hydrangea-blue (high),likely match: flowers/hydrangea/blue (confirm),image,D,Delete (duplicate/obsolete),Duplicate of hydrangea-blue (same hydrangea/blue exists complete),DONE: set DRAFT + unpublished + redirect→hydrangea-blue
Pink Hydrangeas,pink-hydrangeas,8553433727155,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|pink|birthday|anniversary|new-baby|bulk-flowers|florist-essentials,Fresh Cut Flowers,channel:retail|channel:wholesale|color:pink|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:hydrangea|format:bulk-box|image-status:required|occasion:anniversary|occasion:birthday|occasion:everyday|occasion:new-baby|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,90.00,,TNG-WHL-015-P25|TNG-WHL-015-P50|TNG-WHL-015-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,hydrangea-pink (high),likely match: flowers/hydrangea/pink (confirm),image,D,Delete (duplicate/obsolete),Duplicate of hydrangea-pink (same hydrangea/pink exists complete),DONE: set DRAFT + unpublished + redirect→hydrangea-pink
Football Disbud Chrysanthemums,football-disbud-chrysanthemums,8553433759923,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|white-and-ivory|sympathy-and-funeral|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:white-ivory|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:chrysanthemum|format:bulk-box|image-status:required|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:sympathy|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,35.00,,TNG-WHL-016-P25|TNG-WHL-016-P50|TNG-WHL-016-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,chrysanthemums-bronze (medium),likely match: flowers/chrysanthemums/all (confirm),image,E,Manual review,Possible duplicate of chrysanthemums-bronze (medium) — confirm before completing,
Spider Chrysanthemums,spider-chrysanthemums,8553433792691,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|yellow-and-orange|sympathy-and-funeral|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:yellow-orange|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:chrysanthemum|format:bulk-box|image-status:required|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:sympathy|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,35.00,,TNG-WHL-017-P25|TNG-WHL-017-P50|TNG-WHL-017-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,chrysanthemums-bronze (medium),likely match: flowers/chrysanthemums/all (confirm),image,E,Manual review,Possible duplicate of chrysanthemums-bronze (medium) — confirm before completing,
Button Pompon Chrysanthemums,button-pompon-chrysanthemums,8553433825459,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|mixed-color|birthday|sympathy-and-funeral|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:chrysanthemum|format:bulk-box|image-status:required|occasion:birthday|occasion:corporate|occasion:everyday|occasion:sympathy|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,35.00,,TNG-WHL-018-P25|TNG-WHL-018-P50|TNG-WHL-018-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,chrysanthemums-bronze (medium),likely match: flowers/chrysanthemums/all (confirm),image,E,Manual review,Possible duplicate of chrysanthemums-bronze (medium) — confirm before completing,
Standard Carnations (Assorted),standard-carnations-assorted,8553433858227,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|mixed-color|birthday|sympathy-and-funeral|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:mixed|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:carnation|format:bulk-box|image-status:required|occasion:birthday|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:sympathy|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,30.00,,TNG-WHL-019-P25|TNG-WHL-019-P50|TNG-WHL-019-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,likely match: flowers/carnations/all (confirm),image,B,Complete after image + availability fix,"Valid carnations stem/bunch; likely match: flowers/carnations/all (confirm); + inventory/availability fix (qty 0, policy DENY)",DONE: image added + untracked(CONTINUE) + published; purchasable
Spray Mini Carnations,spray-mini-carnations,8553433890995,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|mixed-color|birthday|sympathy-and-funeral|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:carnation|format:bulk-box|image-status:required|occasion:birthday|occasion:corporate|occasion:everyday|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,30.00,,TNG-WHL-020-P25|TNG-WHL-020-P50|TNG-WHL-020-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Anthurium Stems,anthurium-stems,8553433923763,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|red|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:red|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:anthurium|format:bulk-box|image-status:required|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,4,25 Stems / Standard|50 Stems / Standard|50 Stems / Premium|100 Stems / Premium,85.00,,TNG-WHL-021-P25-STD|TNG-WHL-021-P50-STD|TNG-WHL-021-P50-PRM|TNG-WHL-021-P100-PRM,yes,0|0|0|0,DENY,no,qty 0/policy DENY/tracked,tropicals-bird-of-paradise (medium),likely match: flowers/tropicals/all (confirm),image,E,Manual review,Possible duplicate of tropicals-bird-of-paradise (medium) — confirm before completing,
Heliconia,heliconia,8553433956531,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|red|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:red|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:heliconia|format:bulk-box|image-status:required|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,85.00,,TNG-WHL-022-P25|TNG-WHL-022-P50|TNG-WHL-022-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,tropicals-bird-of-paradise (medium),likely match: flowers/tropicals/all (confirm),image,E,Manual review,Possible duplicate of tropicals-bird-of-paradise (medium) — confirm before completing,
Torch Ginger,torch-ginger,8553433989299,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|red|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:red|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:ginger|format:bulk-box|image-status:required|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,85.00,,TNG-WHL-023-P25|TNG-WHL-023-P50|TNG-WHL-023-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,tropicals-bird-of-paradise (medium),likely match: flowers/tropicals/all (confirm),image,E,Manual review,Possible duplicate of tropicals-bird-of-paradise (medium) — confirm before completing,
Bird of Paradise,bird-of-paradise,8553434022067,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|yellow-and-orange|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:yellow-orange|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:bird-of-paradise|format:bulk-box|image-status:required|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,85.00,,TNG-WHL-024-P25|TNG-WHL-024-P50|TNG-WHL-024-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,tropicals-bird-of-paradise (medium),likely match: flowers/tropicals/all (confirm),image,E,Manual review,Possible duplicate of tropicals-bird-of-paradise (medium) — confirm before completing,
Seeded Eucalyptus,seeded-eucalyptus,8553434054835,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|greenery-and-fillers|green-flowers|sympathy-and-funeral|corporate-gifting|bulk-flowers|wholesale-greenery|florist-essentials|corporate-gifts,Greenery,channel:wholesale|color:green|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:eucalyptus|format:bunch|image-status:required|occasion:corporate|occasion:everyday|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:greenery,Greenery,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,35.00,,TNG-WHL-025-P25|TNG-WHL-025-P50|TNG-WHL-025-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,eucalyptus-parvifolia (medium),likely match: flowers/eucalyptus/all (confirm),image,E,Manual review,Possible duplicate of eucalyptus-parvifolia (medium) — confirm before completing,
