handle,name,status,collections,occasion,product_type,tier,price_low,price_high,primary_flowers,secondary_flowers,greenery,palette,arrangement_style,wrap_style,ribbon_style,vessel,size_options,short_description,long_description,seo_title,seo_description,meta_keywords,image_alt,concierge_tags,cross_sell,upsell,delivery_notes,care_instructions,availability_notes,tags,image_prompt
flower-girl-posy,Flower Girl Posy,new,Wedding Flowers|Bridal Bouquets,wedding,Luxury Bouquet,standard,65,85,White spray roses|Pastel ranunculus,White waxflower|Pale sweet pea,Italian ruscus|Soft asparagus fern,White / pastel (mixed),"Petite hand-tied round posy, child-scale",Soft silk stem wrap compact finish,"Plain smooth ivory satin ribbon, blank, no text",None — petite hand-tied posy,Petite|Mini,A sweet child-scale posy of white and pastel blooms for your littlest attendant.,"Small hands deserve their own small bouquet. This petite posy of spray roses and pastel ranunculus is tied light and easy to carry, sized just for a flower girl. Gentle, pretty and perfectly proportioned, it lets her feel every bit as celebrated as the day itself. Made to order to match your wedding palette.",Flower Girl Posy | Luxury Flower Delivery Kingston | The New Greenhouse,"A petite white and pastel posy sized for your flower girl. Made-to-order luxury wedding flowers, delivered in Kingston, Jamaica.",flower girl posy|petite wedding bouquet|pastel posy|white spray roses|Kingston wedding flowers|luxury florist Jamaica,Flower Girl Posy — petite white and pastel spray roses and ranunculus by The New Greenhouse,wedding|flower-girl|sweet-charming|standard-tier|pastel|advance-booking|family|playful-gentle,Bridesmaid Blush Bouquet|Bridal Toss Bouquet,Bridal White Bouquet|Ceremony Aisle Arrangement,Made-to-order wedding piece; advance booking recommended. Ordered with your bridal party through consultation — reserve 3–4 weeks ahead. Same-day not available.,Keep in water until the ceremony; store cool and out of direct sun. Light enough for small hands to carry by the wrapped stems.,Made-to-order; palette matched to your wedding. Booked via consultation.,experience:deluxe|channel:retail|occasion:wedding|flower:rose|flower:ranunculus|palette:pastel|style:posy|format:bouquet|tier:standard|recipient:family,"A finished gift-ready petite hand-tied posy, child-scale, refined density, of white spray roses and pastel ranunculus with white waxflower and pale sweet pea and Italian ruscus greenery, silk-wrapped stems finished with a plain smooth ivory satin ribbon, blank, no text; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
ceremony-aisle-arrangement,Ceremony Aisle Arrangement,new,Wedding Flowers|Ceremony,wedding,Wedding Flowers,luxury,165,210,White hydrangea|White roses,White stock|White snapdragon,Italian ruscus|Olive branch|Trailing ivy,White / green (mixed),"Lush one-sided aisle cluster, garden-gathered",None — pew/aisle-mounted arrangement,"Plain smooth ivory satin ribbon accent, blank, no text",Foam-free floral cage / pew mount (concealed),Standard|Full,A lush white-and-green aisle cluster that lines your walk in garden elegance.,"These are the flowers that frame your first steps as forever begins. Hydrangea and white roses gather into a soft, garden-gathered cluster, trailing olive and ivy along the aisle. Placed pew by pew, they turn a walkway into a passage of quiet ceremony. Made to order and styled to your venue.",Ceremony Aisle Arrangement | Luxury Flower Delivery Kingston | The New Greenhouse,"A lush white-and-green aisle cluster of hydrangea, roses and trailing greenery. Made-to-order luxury wedding ceremony flowers in Kingston, Jamaica.",aisle arrangement|ceremony flowers|pew flowers|white hydrangea|wedding aisle décor|Kingston wedding florist|luxury florist Jamaica,Ceremony Aisle Arrangement — lush white hydrangea and roses with trailing greenery by The New Greenhouse,wedding|couple|elegant-garden|luxury-tier|white|advance-booking|spouse|refined-organic,Reception Low Centerpiece|Bridal White Bouquet,Ceremony Arch Florals|Reception Elevated Centerpiece,Made-to-order ceremony installation; advance booking recommended. Delivered and styled on-site by our team — reserve 4–6 weeks ahead. Consultation and lead-time based.,Installed hydrated on the day; our team sets and removes. Keep out of direct midday sun where possible before the ceremony.,Made-to-order; quantity and placement quoted per venue. Booked via wedding consultation.,experience:deluxe|channel:retail|occasion:wedding|flower:hydrangea|flower:rose|palette:white|style:arrangement|format:stand|tier:luxury|recipient:couple,"A lush one-sided ceremony aisle floral arrangement, garden-gathered, refined density, of white hydrangea and white roses with white stock and white snapdragon and Italian ruscus, olive branch and trailing ivy, mounted on a concealed foam-free floral cage with a plain smooth ivory satin ribbon accent, blank, no text; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
reception-low-centerpiece,Reception Low Centerpiece,new,Centerpieces|Wedding Flowers,wedding,Centerpiece,premium,110,150,White hydrangea|White garden roses,White lisianthus|White ranunculus,Seeded eucalyptus|Italian ruscus|Dusty miller,White / green (mixed),"Low lush compote, guest-eye-level, generous spread",None — vessel arrangement,None,"Low footed compote vessel, ivory ceramic",Standard|Full,A low lush white-and-green centerpiece designed for easy conversation across the table.,"Set low so eyes meet and toasts flow, this centerpiece spills hydrangea and garden roses across an ivory compote. Seeded eucalyptus softens the edges into an easy, garden-gathered abundance. It is the quiet luxury that makes a reception table feel considered from every seat. Made to order for your guest count.",Reception Low Centerpiece | Luxury Flower Delivery Kingston | The New Greenhouse,"A low, lush white-and-green reception centerpiece in an ivory compote. Made-to-order luxury wedding table flowers in Kingston, Jamaica.",low centerpiece|reception flowers|wedding tablescape|white hydrangea compote|Kingston wedding florist|luxury florist Jamaica,Reception Low Centerpiece — low lush white hydrangea and roses in an ivory compote by The New Greenhouse,wedding|couple|elegant-garden|premium-tier|white|advance-booking|spouse|warm-inviting,Reception Elevated Centerpiece|Ceremony Aisle Arrangement,Reception Elevated Centerpiece|Ceremony Arch Florals,Made-to-order reception piece; advance booking recommended. Ordered by table count and delivered on the day — reserve 3–4 weeks ahead. Consultation and lead-time based.,Arrives hydrated in its vessel; keep on a level surface away from direct sun and vents until the reception.,Made-to-order; priced per table. Booked via wedding consultation.,experience:deluxe|channel:retail|occasion:wedding|collection:centerpieces|flower:hydrangea|flower:rose|palette:white|style:centerpiece|format:vase|tier:premium|recipient:couple,"A low lush wedding reception centerpiece, garden-gathered, generous spread, of white hydrangea and white garden roses with white lisianthus and white ranunculus and seeded eucalyptus, Italian ruscus and dusty miller, arranged in a low footed ivory ceramic compote vessel shown clearly; slight 3/4 angle, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
reception-elevated-centerpiece,Reception Elevated Centerpiece,new,Centerpieces|Wedding Flowers,wedding,Centerpiece,luxury,175,225,White hydrangea|White roses|White delphinium,White stock|White lisianthus,Cascading amaranthus|Eucalyptus|Italian ruscus,White / green (mixed),"Tall footed statement arrangement, dramatic cascade",None — footed vessel arrangement,None,"Tall footed compote / pedestal urn, ivory",Standard|Grand,A tall dramatic footed arrangement that crowns your reception tables in white.,"For the tables meant to take a breath away, this elevated arrangement rises on a footed urn in a cascade of hydrangea, roses and delphinium. Trailing amaranthus and eucalyptus pour over the edge like something from a grand estate. It is height, drama and pure-white romance — the centerpiece guests remember. Made to order for your head and feature tables.",Reception Elevated Centerpiece | Luxury Flower Delivery Kingston | The New Greenhouse,"A tall, dramatic footed white centerpiece of hydrangea, roses and trailing greenery. Made-to-order luxury wedding flowers in Kingston, Jamaica.",elevated centerpiece|tall wedding centerpiece|footed urn arrangement|white hydrangea|Kingston wedding florist|luxury florist Jamaica,Reception Elevated Centerpiece — tall footed white hydrangea and roses with trailing greenery by The New Greenhouse,wedding|couple|dramatic-grand|luxury-tier|white|advance-booking|spouse|statement-romantic,Reception Low Centerpiece|Ceremony Aisle Arrangement,Ceremony Arch Florals,Made-to-order statement piece; advance booking recommended. Delivered and placed on the day by our team — reserve 4–6 weeks ahead. Consultation and lead-time based.,Arrives hydrated on its pedestal; keep level and out of direct sun and airflow until placed. Our team sets feature tables on-site.,"Made-to-order; reserved for head and feature tables, priced per piece. Booked via wedding consultation.",experience:deluxe|channel:retail|occasion:wedding|collection:centerpieces|flower:hydrangea|flower:rose|palette:white|style:centerpiece|format:vase|tier:luxury|recipient:couple,"A tall dramatic footed wedding reception centerpiece, statement cascade, refined density, of white hydrangea, white roses and white delphinium with white stock and white lisianthus, cascading amaranthus, eucalyptus and Italian ruscus pouring over the edge, arranged in a tall footed ivory pedestal urn shown clearly; slight 3/4 angle, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
bridal-toss-bouquet,Bridal Toss Bouquet,new,Wedding Flowers|Bridal Bouquets,wedding,Luxury Bouquet,standard,70,95,White spray roses|White ranunculus,White waxflower|White lisianthus,Italian ruscus|Seeded eucalyptus,White,"Petite hand-tied round bouquet, secure and light",Compact silk stem wrap tight finish,"Plain smooth ivory satin ribbon, blank, no text",None — petite hand-tied bouquet,Petite|Mini,A petite easy-to-toss white bouquet made for the moment everyone gathers.,"A small echo of your bridal bouquet, tied light and secure for the toss. Spray roses and ranunculus keep it soft and all-white, so it photographs beautifully mid-air. It is a little tradition made lovely — the bouquet that finds its next lucky hands. Made to order alongside your bridal work.",Bridal Toss Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,"A petite all-white toss bouquet of spray roses and ranunculus. Made-to-order luxury wedding flowers, delivered in Kingston, Jamaica.",toss bouquet|bouquet toss flowers|petite white bouquet|spray roses|Kingston wedding florist|luxury florist Jamaica,Bridal Toss Bouquet — petite all-white spray roses and ranunculus by The New Greenhouse,wedding|bride|playful-classic|standard-tier|white|advance-booking|friend|light-charming,Bridal White Bouquet|Flower Girl Posy,Bridesmaid Blush Bouquet|Reception Low Centerpiece,Made-to-order wedding piece; advance booking recommended. Ordered with your bridal work through consultation — reserve 3–4 weeks ahead. Same-day not available.,Keep stems in water until the reception; store cool and out of direct sun. Tied secure and light for tossing.,Made-to-order; matched to your bridal bouquet. Booked via consultation.,experience:deluxe|channel:retail|occasion:wedding|flower:rose|flower:ranunculus|palette:white|style:bouquet|format:bouquet|tier:standard|recipient:couple,"A finished petite hand-tied round toss bouquet, secure and light, refined density, of white spray roses and white ranunculus with white waxflower and white lisianthus and Italian ruscus and seeded eucalyptus, silk-wrapped stems finished with a plain smooth ivory satin ribbon, blank, no text; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
ceremony-arch-florals,Ceremony Arch Florals,new,Wedding Flowers|Ceremony,wedding,Wedding Flowers,signature,280,450,White hydrangea|White garden roses|White delphinium,White stock|White lisianthus|Spray roses,Olive branch|Eucalyptus|Italian ruscus|Trailing smilax,White / green (mixed),"Asymmetric statement arch cluster, lush garden installation",None — arch-mounted installation,None,Foam-free arch mechanics / mounting cage (concealed),Corner Cluster|Double Cluster|Full Arch,A statement floral cluster that crowns your ceremony arch in lush white and green.,"This is the frame for the moment you become each other's. An asymmetric cluster of hydrangea, garden roses and delphinium climbs the arch, trailing smilax and olive toward the ground. Photographed from every angle, it becomes the backdrop your family will remember for a lifetime. Fully bespoke, designed and installed for your ceremony.",Ceremony Arch Florals | Luxury Flower Delivery Kingston | The New Greenhouse,"A statement white-and-green floral cluster for your ceremony arch. Bespoke made-to-order luxury wedding installation in Kingston, Jamaica.",ceremony arch flowers|wedding arch florals|floral installation|altar flowers|white hydrangea arch|Kingston wedding florist|luxury florist Jamaica,Ceremony Arch Florals — statement white hydrangea roses and trailing greenery arch cluster by The New Greenhouse,wedding|couple|dramatic-grand|signature-tier|white|advance-booking|spouse|bespoke-statement,Ceremony Aisle Arrangement|Bridal White Bouquet,Reception Elevated Centerpiece,"Bespoke made-to-order installation; advance booking essential. Designed, delivered and installed on-site by our team — reserve 6–8 weeks ahead. Consultation and lead-time based.",Built hydrated on foam-free mechanics; our team installs and removes on the day. Best shielded from direct midday sun during the ceremony.,"Fully bespoke; scope, arch structure and coverage quoted per venue. Reserved via wedding consultation only.",experience:deluxe|channel:retail|occasion:wedding|flower:hydrangea|flower:rose|palette:white|style:arrangement|format:stand|tier:signature|recipient:couple,"A lush statement ceremony arch floral cluster, asymmetric garden installation, refined density, of white hydrangea, white garden roses and white delphinium with white stock, white lisianthus and spray roses, olive branch, eucalyptus, Italian ruscus and trailing smilax, mounted on concealed foam-free arch mechanics; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
classic-white-sympathy-arrangement,Classic White Sympathy Arrangement,existing,Sympathy & Funeral,sympathy,Sympathy Tribute,luxury,155,185,White lilies|White roses,White chrysanthemums|White lisianthus,Italian ruscus|Salal|Seeded eucalyptus,White / green,"Rounded gathered sympathy arrangement, serene even density",None — vase arrangement,"Plain white satin ribbon, blank, no text",Ivory ceramic urn vase,Standard|Full|Grand,"A serene all-white arrangement of lilies, roses and chrysanthemums to express heartfelt sympathy.","When words feel too small, flowers can carry what the heart cannot say. This gathering of white lilies, roses and chrysanthemums rests in a quiet ivory urn, softened by trailing greenery and unhurried grace. It is a gesture of comfort and deep respect, sent to hold a family gently through their sorrow. Delivered with the utmost care.",Classic White Sympathy Arrangement | Luxury Flower Delivery Kingston | The New Greenhouse,"A serene all-white sympathy arrangement of lilies, roses and chrysanthemums in an ivory urn. Luxury funeral flowers, delivered with care in Kingston.",sympathy arrangement|white funeral flowers|condolence flowers|white lilies|Kingston funeral florist|luxury sympathy flowers Jamaica,"Classic White Sympathy Arrangement — serene white lilies, roses and chrysanthemums in an ivory urn by The New Greenhouse",sympathy|family|comforting-respectful|luxury-tier|white|same-day|family|serene-dignified,Serene Sympathy Vase|Peaceful Tribute Basket,White Standing Spray|Classic White Wreath,"Same-day delivery available where possible. Delivered directly to the funeral home or residence with discreet, respectful handling. Timing coordinated with the service.",Keep in fresh water and out of direct sun and drafts. Trim stems every few days and refresh the water to extend the arrangement's life.,Available year-round; white blooms substituted like-for-like by season while preserving the all-white palette.,experience:deluxe|channel:retail|delivery:same-day|occasion:sympathy|flower:lily|flower:rose|palette:white|style:arrangement|format:vase|tier:luxury|recipient:family,"A finished sympathy arrangement, dignified and serene, rounded gathered form with serene even density, of white lilies and white roses with white chrysanthemums and white lisianthus and Italian ruscus, salal and seeded eucalyptus greenery, arranged in an ivory ceramic urn vase shown clearly, predominantly white and green with no bright colours; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
white-standing-spray,White Standing Spray,new,Sympathy & Funeral,sympathy,Sympathy Tribute,luxury,185,225,White lilies|White roses,White gladioli|White chrysanthemums,Leatherleaf fern|Italian ruscus|Salal,White / green,"Large upright standing spray on easel, formal fan form",None — easel-mounted tribute,"Plain white satin ribbon, blank, no text",Displayed on a wire easel stand,Standard|Grand,"A tall white standing spray of lilies and roses on an easel, a dignified tribute for the service.","Standing tall beside the service, this spray speaks of a life honoured and deeply loved. White lilies and roses rise in a formal fan, steadied by gladioli and soft greenery on a graceful easel. It is a presence of quiet dignity — a way to stand with a family when you cannot stand beside them. Delivered directly to the service with care.",White Standing Spray | Luxury Flower Delivery Kingston | The New Greenhouse,"A tall white standing spray of lilies, roses and gladioli on an easel. Dignified luxury funeral tribute flowers, delivered with care in Kingston, Jamaica.",standing spray|funeral spray|white lilies easel tribute|sympathy standing spray|Kingston funeral flowers|luxury sympathy florist Jamaica,White Standing Spray — tall white lilies and roses on a wire easel by The New Greenhouse,sympathy|family|comforting-respectful|luxury-tier|white|same-day|family|dignified-formal,Classic White Wreath|Classic White Sympathy Arrangement,White Casket Spray|Classic White Wreath,"Same-day delivery available where possible. Delivered and set on its easel directly at the funeral home, with discreet, respectful handling and timing to the service.",Displayed on an easel for the service; keep out of direct sun and wind. Best appreciated fresh on the day of the tribute.,Made to order for the service; advance notice appreciated for grand size. White blooms substituted like-for-like by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:sympathy|flower:lily|flower:rose|palette:white|style:standing-spray|format:stand|tier:luxury|recipient:family,"A finished sympathy standing spray, dignified and serene, large upright formal fan form, of white lilies and white roses with white gladioli and white chrysanthemums and leatherleaf fern, Italian ruscus and salal greenery, shown on a wire easel stand, finished with a plain white satin ribbon, blank, no text, predominantly white and green with no bright colours; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
classic-white-wreath,Classic White Wreath,new,Sympathy & Funeral,sympathy,Sympathy Tribute,luxury,175,215,White roses|White chrysanthemums,White carnations|White lisianthus,Salal|Leatherleaf fern|Italian ruscus,White / green,"Full circular ring wreath, even continuous form",None — easel-mounted tribute,"Plain white satin ribbon, blank, no text",Displayed on a wire easel stand,Standard|Grand,"A full circular white wreath of roses and chrysanthemums, an enduring symbol of eternal remembrance.","The circle has no end, and neither does the love it honours. This full white wreath of roses and chrysanthemums, threaded with soft greenery, is a timeless emblem of eternal remembrance. Set on a graceful easel beside the service, it offers a family a quiet, dignified comfort. Delivered directly to the funeral home with the greatest care.",Classic White Wreath | Luxury Flower Delivery Kingston | The New Greenhouse,"A full circular white wreath of roses and chrysanthemums on an easel. A timeless luxury funeral tribute, delivered with care in Kingston, Jamaica.",funeral wreath|white sympathy wreath|memorial wreath|white roses wreath|Kingston funeral flowers|luxury sympathy florist Jamaica,Classic White Wreath — circular white roses and chrysanthemums ring on a wire easel by The New Greenhouse,sympathy|family|comforting-respectful|luxury-tier|white|same-day|family|timeless-dignified,White Standing Spray|Peaceful Tribute Basket,White Casket Spray|White Standing Spray,"Same-day delivery available where possible. Delivered and set on its easel directly at the funeral home, handled discreetly and timed to the service.",Displayed on an easel for the service; keep out of direct sun and wind. Best appreciated fresh on the day of the tribute.,Made to order for the service; advance notice appreciated for grand size. White blooms substituted like-for-like by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:sympathy|flower:rose|flower:chrysanthemum|palette:white|style:wreath|format:stand|tier:luxury|recipient:family,"A finished sympathy wreath, dignified and serene, full circular ring with even continuous form, of white roses and white chrysanthemums with white carnations and white lisianthus and salal, leatherleaf fern and Italian ruscus greenery, shown on a wire easel stand, finished with a plain white satin ribbon, blank, no text, predominantly white and green with no bright colours; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
peaceful-tribute-basket,Peaceful Tribute Basket,new,Sympathy & Funeral,sympathy,Sympathy Tribute,premium,110,145,White roses|White lilies,White chrysanthemums|White lisianthus,Seeded eucalyptus|Italian ruscus|Salal,White / green,"Soft low gathered basket, gentle rounded spread",None — basket arrangement,"Plain soft-grey satin ribbon, blank, no text",Natural woven handled basket,Standard|Full,"A soft white basket of roses and lilies, a gentle gesture of comfort for a grieving home.","Sometimes comfort is best sent quietly, to a doorstep and a heavy heart. This soft basket gathers white roses and lilies in a low, gentle spread, cradled in natural woven handles. It brings a moment of peace and warmth into a grieving home, without asking for anything in return. Delivered discreetly, with tender care.",Peaceful Tribute Basket | Luxury Flower Delivery Kingston | The New Greenhouse,"A soft white sympathy basket of roses, lilies and chrysanthemums. A gentle gesture of comfort, delivered discreetly in Kingston, Jamaica.",sympathy basket|condolence flowers basket|white funeral basket|comfort flowers|Kingston sympathy florist|luxury funeral flowers Jamaica,Peaceful Tribute Basket — soft white roses and lilies in a natural woven basket by The New Greenhouse,sympathy|family|comforting-respectful|premium-tier|white|same-day|family|gentle-warm,Serene Sympathy Vase|Classic White Sympathy Arrangement,White Standing Spray|Classic White Wreath,"Same-day delivery available where possible. Delivered directly to the residence or funeral home with discreet, respectful handling.",Keep the basket in a cool spot out of direct sun and drafts. Add water to the liner as needed to keep the flowers fresh.,Available year-round; white blooms substituted like-for-like by season while preserving the all-white palette.,experience:deluxe|channel:retail|delivery:same-day|occasion:sympathy|flower:rose|flower:lily|palette:white|style:basket|format:basket|tier:premium|recipient:family,"A finished sympathy basket, dignified and serene, soft low gathered form with gentle rounded spread, of white roses and white lilies with white chrysanthemums and white lisianthus and seeded eucalyptus, Italian ruscus and salal greenery, arranged in a natural woven handled basket shown clearly, finished with a plain soft-grey satin ribbon, blank, no text, predominantly white and green with no bright colours; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
white-casket-spray,White Casket Spray,new,Sympathy & Funeral,sympathy,Sympathy Tribute,signature,275,425,White lilies|White roses,White hydrangea|White orchids,Italian ruscus|Salal|Seeded eucalyptus|Trailing ivy,White / green,"Full horizontal casket-top spray, lush cascading form",None — casket-top tribute,"Plain white satin ribbon, blank, no text",None — rests across the casket,Half-Couch|Full-Couch,"A lush horizontal white casket spray of lilies, roses and hydrangea, the family's final tribute.","The most personal of tributes, laid where the family says their last farewell. White lilies, roses and hydrangea gather into a lush horizontal spray, trailing ivy and orchids over the edge with quiet grace. It is abundance offered in love — a final gesture of honour and devotion. Crafted with the deepest care and delivered directly to the service.",White Casket Spray | Luxury Flower Delivery Kingston | The New Greenhouse,"A lush horizontal white casket spray of lilies, roses, hydrangea and orchids. A signature funeral tribute, delivered with care in Kingston, Jamaica.",casket spray|casket flowers|white funeral casket spray|white lilies casket tribute|Kingston funeral florist|luxury sympathy flowers Jamaica,"White Casket Spray — lush horizontal white lilies, roses and hydrangea casket-top piece by The New Greenhouse",sympathy|family|comforting-respectful|signature-tier|white|same-day|family|devoted-abundant,White Standing Spray|Classic White Wreath,White Standing Spray|Classic White Wreath,"Same-day delivery available where possible; advance notice appreciated for this signature piece. Delivered and placed directly at the funeral home, timed to the service, with discreet handling.",Prepared to rest across the casket for the service; keep cool and out of direct sun until placed. Crafted to look its finest on the day of the tribute.,Made to order as the family's principal tribute; advance notice recommended. White blooms substituted like-for-like by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:sympathy|flower:lily|flower:rose|palette:white|style:casket-spray|format:stand|tier:signature|recipient:family,"A finished sympathy casket spray, dignified and serene, full horizontal casket-top piece with lush cascading form, of white lilies and white roses with white hydrangea and white orchids and Italian ruscus, salal, seeded eucalyptus and trailing ivy, shown as a horizontal casket-top arrangement, finished with a plain white satin ribbon, blank, no text, predominantly white and green with no bright colours; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
serene-sympathy-vase,Serene Sympathy Vase,new,Sympathy & Funeral,sympathy,Sympathy Tribute,premium,105,140,White roses|White lisianthus,White chrysanthemums|White stock,Italian ruscus|Seeded eucalyptus,White / green,"Rounded upright vase arrangement, calm balanced density",None — vase arrangement,"Plain white satin ribbon, blank, no text",Clear glass column vase,Standard|Full,"A calm white vase of roses and lisianthus, an understated expression of sympathy and comfort.","A quiet, graceful way to say you are thinking of them. White roses and lisianthus rise softly from a clear glass vase, calm and unhurried, threaded with gentle greenery. It settles easily onto a table at home or beside the service, offering steady comfort in a difficult time. Delivered thoughtfully, with care.",Serene Sympathy Vase | Luxury Flower Delivery Kingston | The New Greenhouse,"A calm white sympathy vase of roses, lisianthus and chrysanthemums. An understated gesture of comfort, delivered with care in Kingston, Jamaica.",sympathy vase|condolence flowers|white sympathy arrangement|white roses vase|Kingston sympathy florist|luxury funeral flowers Jamaica,Serene Sympathy Vase — calm white roses and lisianthus in a clear glass vase by The New Greenhouse,sympathy|family|comforting-respectful|premium-tier|white|same-day|family|calm-understated,Peaceful Tribute Basket|Classic White Sympathy Arrangement,Classic White Sympathy Arrangement|White Standing Spray,"Same-day delivery available where possible. Delivered directly to the residence or funeral home with discreet, respectful handling.",Keep in fresh water out of direct sun and drafts. Trim stems and refresh the water every few days to extend its life.,Available year-round; white blooms substituted like-for-like by season while preserving the all-white palette.,experience:deluxe|channel:retail|delivery:same-day|occasion:sympathy|flower:rose|flower:mixed|palette:white|style:arrangement|format:vase|tier:premium|recipient:family,"A finished sympathy vase arrangement, dignified and serene, rounded upright form with calm balanced density, of white roses and white lisianthus with white chrysanthemums and white stock and Italian ruscus and seeded eucalyptus greenery, arranged in a clear glass column vase shown clearly, finished with a plain white satin ribbon, blank, no text, predominantly white and green with no bright colours; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
