handle,category,color,title,price,approved,image_found,notes
roses-in-stock-lavender,roses-in-stock,Lavender,Lavender Roses - In Stock,18,true,yes,PLACEHOLDER price — review before approving
roses-in-stock-orange,roses-in-stock,Orange,Orange Roses - In Stock,18,true,yes,PLACEHOLDER price — review before approving
roses-in-stock-peach,roses-in-stock,Peach,Peach Roses - In Stock,18,true,yes,PLACEHOLDER price — review before approving
roses-in-stock-pink,roses-in-stock,Pink,Pink Roses - In Stock,18,true,yes,PLACEHOLDER price — review before approving
roses-in-stock-red,roses-in-stock,Red,Red Roses - In Stock,18,true,yes,PLACEHOLDER price — review before approving
roses-in-stock-white,roses-in-stock,White,White Roses - In Stock,18,true,yes,PLACEHOLDER price — review before approving
roses-in-stock-yellow,roses-in-stock,Yellow,Yellow Roses - In Stock,18,true,yes,PLACEHOLDER price — review before approving
snapdragon-pink,snapdragon,Pink,Pink Snapdragon,12,true,yes,PLACEHOLDER price — review before approving
snapdragon-purple,snapdragon,Purple,Purple Snapdragon,12,true,yes,PLACEHOLDER price — review before approving
snapdragon-red,snapdragon,Red,Red Snapdragon,12,true,yes,PLACEHOLDER price — review before approving
snapdragon-white,snapdragon,White,White Snapdragon,12,true,yes,PLACEHOLDER price — review before approving
snapdragon-yellow,snapdragon,Yellow,Yellow Snapdragon,12,true,yes,PLACEHOLDER price — review before approving
spray-roses-peach,spray-roses,Peach,Peach Spray Roses,15,true,yes,PLACEHOLDER price — review before approving
spray-roses-pink,spray-roses,Pink,Pink Spray Roses,15,true,yes,PLACEHOLDER price — review before approving
spray-roses-red,spray-roses,Red,Red Spray Roses,15,true,yes,PLACEHOLDER price — review before approving
spray-roses-white,spray-roses,White,White Spray Roses,15,true,yes,PLACEHOLDER price — review before approving
spray-roses-yellow,spray-roses,Yellow,Yellow Spray Roses,15,true,yes,PLACEHOLDER price — review before approving
stock-lavender,stock,Lavender,Lavender Stock,12,true,yes,PLACEHOLDER price — review before approving
stock-pink,stock,Pink,Pink Stock,12,true,yes,PLACEHOLDER price — review before approving
stock-purple,stock,Purple,Purple Stock,12,true,yes,PLACEHOLDER price — review before approving
stock-white,stock,White,White Stock,12,true,yes,PLACEHOLDER price — review before approving
tropicals-anthurium-pink,tropicals,Pink Anthurium,Pink Anthurium,30,true,yes,PLACEHOLDER price — review before approving
tropicals-anthurium-red,tropicals,Red Anthurium,Red Anthurium,30,true,yes,PLACEHOLDER price — review before approving
tropicals-bird-of-paradise,tropicals,Bird of Paradise,Bird of Paradise,30,true,yes,PLACEHOLDER price — review before approving
tropicals-ginger,tropicals,Ginger,Ginger,30,true,yes,PLACEHOLDER price — review before approving
tropicals-heliconia,tropicals,Heliconia,Heliconia,30,true,yes,PLACEHOLDER price — review before approving
tropicals-mixed,tropicals,Mixed,Mixed,30,true,yes,PLACEHOLDER price — review before approving
tropicals-protea,tropicals,Protea,Protea,30,true,yes,PLACEHOLDER price — review before approving
tulips-orange,tulips,Orange,Orange Tulips,12,true,yes,PLACEHOLDER price — review before approving
tulips-pink,tulips,Pink,Pink Tulips,12,true,yes,PLACEHOLDER price — review before approving
tulips-purple,tulips,Purple,Purple Tulips,12,true,yes,PLACEHOLDER price — review before approving
tulips-red,tulips,Red,Red Tulips,12,true,yes,PLACEHOLDER price — review before approving
tulips-white,tulips,White,White Tulips,12,true,yes,PLACEHOLDER price — review before approving
tulips-yellow,tulips,Yellow,Yellow Tulips,12,true,yes,PLACEHOLDER price — review before approving
