shopify_product_id,handle,title,current_experience,proposed_experience,classification_reason,confidence,approved,notes
gid://shopify/Product/8553435627699,florist-shears-snips,Florist Shears & Snips,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
gid://shopify/Product/8553433759923,football-disbud-chrysanthemums,Football Disbud Chrysanthemums,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553435758771,fruit-flower-gift-basket,Fruit & Flower Gift Basket,,both,"Finished gift (type ""Gift Basket"") tagged channel:both — genuinely retail-gift and wholesale-suitable",medium,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553434677427,get-well-soft-pastels,Get Well Soft Pastels,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553434644659,get-well-sunshine-bouquet,Get Well Sunshine Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553435398323,glass-cylinder-vase,Glass Cylinder Vase,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
gid://shopify/Product/8553868722355,alstroemeria-yellow,Golden Alstroemeria Bunch,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Flowers"")",high,false,
gid://shopify/Product/8553433956531,heliconia,Heliconia,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553435332787,intimate-wedding-flower-package,Intimate Wedding Flower Package,,needs-review,"Wedding product (type ""Wedding Flowers"") — Weddings are excluded from active scope",high,false,no-image|placeholder-price|wedding-scope-excluded
gid://shopify/Product/8553434120371,israeli-ruscus,Israeli Ruscus,,classic,"Wholesale/professional greenery/filler (type ""Greenery"", format:bunch)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553868689587,alstroemeria-white,Ivory Alstroemeria Bunch,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Flowers"")",high,false,
gid://shopify/Product/8553433432243,ivory-garden-roses,Ivory Garden Roses,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,no-image|placeholder-price
gid://shopify/Product/8553435529395,kraft-cellophane-wrap,Kraft & Cellophane Wrap,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
gid://shopify/Product/8553868525747,alstroemeria-lavender,Lavender Mist Alstroemeria Bunch,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Flowers"")",high,false,
gid://shopify/Product/8553433301171,long-stem-ivory-roses,Long-Stem Ivory Roses,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433333939,long-stem-pink-roses,Long-Stem Pink Roses,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,no-image|placeholder-price
gid://shopify/Product/8553432809651,long-stem-red-roses,Long-Stem Red Roses,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433366707,long-stem-yellow-roses,Long-Stem Yellow Roses,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553435201715,low-reception-centerpiece,Low Reception Centerpiece,,needs-review,"Wedding product (type ""Wedding Flowers"") — Weddings are excluded from active scope",high,false,in-wedding-collection|no-image|placeholder-price|wedding-scope-excluded
gid://shopify/Product/8553435070643,memorial-vase-arrangement,Memorial Vase Arrangement,,both,"Finished arrangement (type ""Sympathy Arrangement"") tagged channel:both — genuinely retail-gift and wholesale-suitable",medium,false,no-image|placeholder-price
gid://shopify/Product/8553434841267,modern-mixed-bouquet,Modern Mixed Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553434611891,new-baby-neutral-bouquet,New Baby Neutral Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553434579123,new-baby-soft-pink-bouquet,New Baby Soft Pink Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553435496627,organza-ribbon,Organza Ribbon,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
gid://shopify/Product/8553433563315,oriental-lilies-white,Oriental Lilies (White),,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553434153139,palm-leather-leaf,Palm & Leather Leaf,,classic,"Wholesale/professional greenery/filler (type ""Greenery"", format:bunch)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553432907955,peace-lily-plant,Peace Lily Plant,,classic,"Wholesale/professional plant (type ""Plant"", format:plant)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553434972339,peaceful-whites-hand-tied-bouquet,Peaceful Whites Hand-Tied Bouquet,,deluxe,"Finished arrangement (type ""Sympathy Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553435726003,phalaenopsis-orchid-plant,Phalaenopsis Orchid Plant,,classic,"Wholesale/professional plant (type ""Plant"", format:plant)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433530547,phalaenopsis-orchid-stems,Phalaenopsis Orchid Stems,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433727155,pink-hydrangeas,Pink Hydrangeas,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,no-image|placeholder-price
gid://shopify/Product/8553435824307,plush-teddy-bear-add-on,Plush Teddy Bear Add-on,,both,"Finished gift (type ""Gift Add-on"") tagged channel:both — genuinely retail-gift and wholesale-suitable",medium,false,no-image|placeholder-price
gid://shopify/Product/8553434448051,red-rose-romance-bouquet,Red Rose Romance Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553435463859,satin-ribbon,Satin Ribbon,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
gid://shopify/Product/8553868624051,alstroemeria-red,Scarlet Alstroemeria Bunch,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Flowers"")",high,false,
gid://shopify/Product/8553434742963,seasonal-market-bunch,Seasonal Market Bunch,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553434054835,seeded-eucalyptus,Seeded Eucalyptus,,classic,"Wholesale/professional greenery/filler (type ""Greenery"", format:bunch)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553435005107,serene-sympathy-bouquet,Serene Sympathy Bouquet,,deluxe,"Finished arrangement (type ""Sympathy Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553434087603,silver-dollar-eucalyptus,Silver Dollar Eucalyptus,,classic,"Wholesale/professional greenery/filler (type ""Greenery"", format:bunch)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553435693235,snake-plant-sansevieria,Snake Plant (Sansevieria),,classic,"Wholesale/professional plant (type ""Plant"", format:plant)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553434316979,solidago,Solidago,,classic,"Wholesale/professional greenery/filler (type ""Floral Filler"", format:bunch)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433792691,spider-chrysanthemums,Spider Chrysanthemums,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433890995,spray-mini-carnations,Spray Mini Carnations,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433858227,standard-carnations-assorted,Standard Carnations (Assorted),,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553432973491,standing-spray-classic-white,Standing Spray — Classic White,,both,"Finished arrangement (type ""Sympathy Arrangement"") tagged channel:both — genuinely retail-gift and wholesale-suitable",medium,false,no-image|placeholder-price
gid://shopify/Product/8553434874035,standing-spray-mixed-tribute,Standing Spray — Mixed Tribute,,both,"Finished arrangement (type ""Sympathy Arrangement"") tagged channel:both — genuinely retail-gift and wholesale-suitable",medium,false,no-image|placeholder-price
gid://shopify/Product/8553434284211,statice,Statice,,classic,"Wholesale/professional greenery/filler (type ""Floral Filler"", format:bunch)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553868558515,alstroemeria-orange,Sunset Alstroemeria Bunch,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Flowers"")",high,false,
gid://shopify/Product/8553435300019,sweetheart-table-arrangement,Sweetheart Table Arrangement,,needs-review,"Wedding product (type ""Wedding Flowers"") — Weddings are excluded from active scope",high,false,no-image|placeholder-price|wedding-scope-excluded
gid://shopify/Product/8553434906803,sympathy-wreath-ivory-greenery,Sympathy Wreath — Ivory & Greenery,,both,"Finished arrangement (type ""Sympathy Arrangement"") tagged channel:both — genuinely retail-gift and wholesale-suitable",medium,false,no-image|placeholder-price
gid://shopify/Product/8553433989299,torch-ginger,Torch Ginger,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553435037875,tribute-basket-arrangement,Tribute Basket Arrangement,,both,"Finished arrangement (type ""Sympathy Arrangement"") tagged channel:both — genuinely retail-gift and wholesale-suitable",medium,false,no-image|placeholder-price
gid://shopify/Product/8553434251443,wax-flower,Wax Flower,,classic,"Wholesale/professional greenery/filler (type ""Floral Filler"", format:bunch)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553432875187,wet-floral-foam-bricks,Wet Floral Foam Bricks,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
gid://shopify/Product/8553433661619,white-hydrangeas,White Hydrangeas,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553435562163,woven-arrangement-basket,Woven Arrangement Basket,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
